study,group,tissue,gene1,gene2,is_marker
19.human_DiseaseGeneFusion,normal,Heart,MMP23B,5,no
19.human_DiseaseGeneFusion,normal,Heart,MORN1,4,no
19.human_DiseaseGeneFusion,normal,Heart,MRPL20,5,no
19.human_DiseaseGeneFusion,normal,Heart,MTOR,5,no
19.human_DiseaseGeneFusion,normal,Heart,NADK,5,no
19.human_DiseaseGeneFusion,normal,Heart,NMNAT1,5,no
19.human_DiseaseGeneFusion,normal,Heart,NOC2L,5,no
19.human_DiseaseGeneFusion,normal,Heart,NOL9,5,no
19.human_DiseaseGeneFusion,normal,Heart,NPHP4,4,no
19.human_DiseaseGeneFusion,normal,Heart,PANK4,4,no
19.human_DiseaseGeneFusion,normal,Heart,PARK7,4,no
19.human_DiseaseGeneFusion,normal,Heart,PER3,5,no
19.human_DiseaseGeneFusion,normal,Heart,PERM1,5,no
19.human_DiseaseGeneFusion,normal,Heart,PEX10,5,no
19.human_DiseaseGeneFusion,normal,Heart,PEX14,5,no
19.human_DiseaseGeneFusion,normal,Heart,PGD,4,no
19.human_DiseaseGeneFusion,normal,Heart,PHF13,4,no
19.human_DiseaseGeneFusion,normal,Heart,PIK3CD,5,no
19.human_DiseaseGeneFusion,normal,Heart,PLEKHG5,5,no
19.human_DiseaseGeneFusion,normal,Heart,PRDM16,5,no
19.human_DiseaseGeneFusion,normal,Heart,PRKCZ,5,no
19.human_DiseaseGeneFusion,normal,Heart,RER1,4,no
19.human_DiseaseGeneFusion,normal,Heart,RERE,2,no
19.human_DiseaseGeneFusion,normal,Heart,RNF207,5,no
19.human_DiseaseGeneFusion,normal,Heart,RP11-206L10.9,4,no
19.human_DiseaseGeneFusion,normal,Heart,RP11-345P4.9,4,no
19.human_DiseaseGeneFusion,normal,Heart,RP11-431K24.1,3,no
19.human_DiseaseGeneFusion,normal,Heart,RP4-635E18.7,4,no
19.human_DiseaseGeneFusion,normal,Heart,RP4-669L17.10,4,no
19.human_DiseaseGeneFusion,normal,Heart,RP5-1115A15.1,5,no
19.human_DiseaseGeneFusion,normal,Heart,RP5-857K21.4,4,no
19.human_DiseaseGeneFusion,normal,Heart,SDF4,4,no
19.human_DiseaseGeneFusion,normal,Heart,SKI,5,no
19.human_DiseaseGeneFusion,normal,Heart,SLC25A33,5,no
19.human_DiseaseGeneFusion,normal,Heart,SLC2A5,4,no
19.human_DiseaseGeneFusion,normal,Heart,SLC35E2,5,no
19.human_DiseaseGeneFusion,normal,Heart,SLC35E2B,5,no
19.human_DiseaseGeneFusion,normal,Heart,SLC45A1,3,no
19.human_DiseaseGeneFusion,normal,Heart,SPSB1,5,no
19.human_DiseaseGeneFusion,normal,Heart,SRM,4,no
19.human_DiseaseGeneFusion,normal,Heart,SSU72,4,no
19.human_DiseaseGeneFusion,normal,Heart,TAS1R1,4,no
19.human_DiseaseGeneFusion,normal,Heart,THAP3,4,no
19.human_DiseaseGeneFusion,normal,Heart,TNFRSF25,4,no
19.human_DiseaseGeneFusion,normal,Heart,TP73-AS1,5,no
19.human_DiseaseGeneFusion,normal,Heart,UBE2J2,5,no
19.human_DiseaseGeneFusion,normal,Heart,UBE4B,4,no
19.human_DiseaseGeneFusion,normal,Heart,UBIAD1,4,no
19.human_DiseaseGeneFusion,normal,Heart,VAMP3,4,no
19.human_DiseaseGeneFusion,normal,Heart,WRAP73,4,no
19.human_DiseaseGeneFusion,normal,Heart,ZBTB48,4,no
19.human_DiseaseGeneFusion,normal,Lung,ATAD3B,6,no
19.human_DiseaseGeneFusion,normal,Lung,ATAD3C,5,no
19.human_DiseaseGeneFusion,normal,Lung,C1orf159,5,no
19.human_DiseaseGeneFusion,normal,Lung,CAMTA1,5,no
19.human_DiseaseGeneFusion,normal,Lung,CASZ1,5,no
19.human_DiseaseGeneFusion,normal,Lung,CCNL2,5,no
19.human_DiseaseGeneFusion,normal,Lung,CEP104,6,no
19.human_DiseaseGeneFusion,normal,Lung,CLCN6,6,no
19.human_DiseaseGeneFusion,normal,Lung,CLSTN1,6,no
19.human_DiseaseGeneFusion,normal,Lung,CPSF3L,6,no
19.human_DiseaseGeneFusion,normal,Lung,CTNNBIP1,5,no
19.human_DiseaseGeneFusion,normal,Lung,DDI2,6,no
19.human_DiseaseGeneFusion,normal,Lung,DFFA,6,no
19.human_DiseaseGeneFusion,normal,Lung,DHRS3,4,no
19.human_DiseaseGeneFusion,normal,Lung,DNAJC11,5,no
19.human_DiseaseGeneFusion,normal,Lung,DNAJC16,5,no
19.human_DiseaseGeneFusion,normal,Lung,ENO1,5,no
19.human_DiseaseGeneFusion,normal,Lung,ERRFI1,4,no
19.human_DiseaseGeneFusion,normal,Lung,EXOSC10,6,no
19.human_DiseaseGeneFusion,normal,Lung,FBXO44,6,no
19.human_DiseaseGeneFusion,normal,Lung,FLJ37453,5,no
19.human_DiseaseGeneFusion,normal,Lung,FO538757.2,5,no
19.human_DiseaseGeneFusion,normal,Lung,GNB1,3,no
19.human_DiseaseGeneFusion,normal,Lung,H6PD,5,no
19.human_DiseaseGeneFusion,normal,Lung,HES4,5,no
19.human_DiseaseGeneFusion,normal,Lung,KIF1B,3,no
19.human_DiseaseGeneFusion,normal,Lung,LZIC,6,no
19.human_DiseaseGeneFusion,normal,Lung,MEGF6,5,no
19.human_DiseaseGeneFusion,normal,Lung,MFN2,6,no
19.human_DiseaseGeneFusion,normal,Lung,MIIP,5,no
19.human_DiseaseGeneFusion,normal,Lung,MMP23B,5,no
19.human_DiseaseGeneFusion,normal,Lung,MTOR,4,no
19.human_DiseaseGeneFusion,normal,Lung,NMNAT1,6,no
19.human_DiseaseGeneFusion,normal,Lung,NOL9,6,no
19.human_DiseaseGeneFusion,normal,Lung,NPHP4,5,no
19.human_DiseaseGeneFusion,normal,Lung,NPPA,5,no
19.human_DiseaseGeneFusion,normal,Lung,PER3,3,no
19.human_DiseaseGeneFusion,normal,Lung,PEX10,3,no
19.human_DiseaseGeneFusion,normal,Lung,PEX14,6,no
19.human_DiseaseGeneFusion,normal,Lung,PGD,2,no
19.human_DiseaseGeneFusion,normal,Lung,PIK3CD,5,no
19.human_DiseaseGeneFusion,normal,Lung,PLEKHG5,6,no
19.human_DiseaseGeneFusion,normal,Lung,PLEKHM2,6,no
19.human_DiseaseGeneFusion,normal,Lung,PRDM16,6,no
19.human_DiseaseGeneFusion,normal,Lung,PRDM2,5,no
19.human_DiseaseGeneFusion,normal,Lung,PRKCZ,4,no
19.human_DiseaseGeneFusion,normal,Lung,RNF207,2,no
19.human_DiseaseGeneFusion,normal,Lung,RP11-206L10.9,6,no
19.human_DiseaseGeneFusion,normal,Lung,RP11-465B22.8,5,no
19.human_DiseaseGeneFusion,normal,Lung,RP5-1115A15.1,3,no
19.human_DiseaseGeneFusion,normal,Lung,RP5-857K21.4,3,no
19.human_DiseaseGeneFusion,normal,Lung,RPL22,6,no
19.human_DiseaseGeneFusion,normal,Lung,SKI,6,no
19.human_DiseaseGeneFusion,normal,Lung,SLC25A33,6,no
19.human_DiseaseGeneFusion,normal,Lung,SLC35E2B,6,no
19.human_DiseaseGeneFusion,normal,Lung,SPEN,6,no
19.human_DiseaseGeneFusion,normal,Lung,SPSB1,5,no
19.human_DiseaseGeneFusion,normal,Lung,SRM,4,no
19.human_DiseaseGeneFusion,normal,Lung,TNFRSF14,6,no
19.human_DiseaseGeneFusion,normal,Lung,UBE2J2,6,no
19.human_DiseaseGeneFusion,normal,Lung,UBE4B,3,no
19.human_DiseaseGeneFusion,normal,Prostate,ACAP3,5,no
19.human_DiseaseGeneFusion,normal,Prostate,AGRN,5,no
19.human_DiseaseGeneFusion,normal,Prostate,ATAD3A,5,no
19.human_DiseaseGeneFusion,normal,Prostate,AURKAIP1,5,no
19.human_DiseaseGeneFusion,normal,Prostate,CAMTA1,5,no
19.human_DiseaseGeneFusion,normal,Prostate,CCNL2,5,no
19.human_DiseaseGeneFusion,normal,Prostate,CDK11B,6,no
19.human_DiseaseGeneFusion,normal,Prostate,CLSTN1,3,no
19.human_DiseaseGeneFusion,normal,Prostate,CPSF3L,5,no
19.human_DiseaseGeneFusion,normal,Prostate,CPTP,5,no
19.human_DiseaseGeneFusion,normal,Prostate,DFFA,5,no
19.human_DiseaseGeneFusion,normal,Prostate,DNAJC11,6,no
19.human_DiseaseGeneFusion,normal,Prostate,DVL1,6,no
19.human_DiseaseGeneFusion,normal,Prostate,FAAP20,6,no
19.human_DiseaseGeneFusion,normal,Prostate,FO538757.2,5,no
19.human_DiseaseGeneFusion,normal,Prostate,GNB1,5,no
19.human_DiseaseGeneFusion,normal,Prostate,ICMT,5,no
19.human_DiseaseGeneFusion,normal,Prostate,LRRC47,6,no
19.human_DiseaseGeneFusion,normal,Prostate,MASP2,5,no
19.human_DiseaseGeneFusion,normal,Prostate,MEGF6,5,no
19.human_DiseaseGeneFusion,normal,Prostate,MIB2,6,no
19.human_DiseaseGeneFusion,normal,Prostate,MMP23B,4,no
19.human_DiseaseGeneFusion,normal,Prostate,MRPL20,5,no
19.human_DiseaseGeneFusion,normal,Prostate,NADK,6,no
19.human_DiseaseGeneFusion,normal,Prostate,NMNAT1,5,no
19.human_DiseaseGeneFusion,normal,Prostate,NOC2L,5,no
19.human_DiseaseGeneFusion,normal,Prostate,NOL9,6,no
19.human_DiseaseGeneFusion,normal,Prostate,PER3,5,no
19.human_DiseaseGeneFusion,normal,Prostate,PEX10,5,no
19.human_DiseaseGeneFusion,normal,Prostate,PEX14,5,no
19.human_DiseaseGeneFusion,normal,Prostate,PGD,6,no
19.human_DiseaseGeneFusion,normal,Prostate,PIK3CD,5,no
19.human_DiseaseGeneFusion,normal,Prostate,PLCH2,5,no
19.human_DiseaseGeneFusion,normal,Prostate,PRKCZ,5,no
19.human_DiseaseGeneFusion,normal,Prostate,RER1,5,no
19.human_DiseaseGeneFusion,normal,Prostate,RP11-345P4.9,6,no
19.human_DiseaseGeneFusion,normal,Prostate,RP4-635E18.7,6,no
19.human_DiseaseGeneFusion,normal,Prostate,RP5-857K21.4,5,no
19.human_DiseaseGeneFusion,normal,Prostate,RPL22,6,no
19.human_DiseaseGeneFusion,normal,Prostate,SDF4,5,no
19.human_DiseaseGeneFusion,normal,Prostate,SKI,6,no
19.human_DiseaseGeneFusion,normal,Prostate,SRM,5,no
19.human_DiseaseGeneFusion,normal,Prostate,SSU72,5,no
19.human_DiseaseGeneFusion,normal,Prostate,THAP3,5,no
19.human_DiseaseGeneFusion,normal,Prostate,TNFRSF14,5,no
19.human_DiseaseGeneFusion,normal,Prostate,TPRG1L,5,no
19.human_DiseaseGeneFusion,normal,Prostate,UBE2J2,5,no
19.human_DiseaseGeneFusion,normal,Prostate,ZBTB48,6,no
3.human_GSE81547,disease,Pancreas,A4GALT,1,no
3.human_GSE81547,disease,Pancreas,AADAC,1,no
3.human_GSE81547,disease,Pancreas,ABCD3,1,no
3.human_GSE81547,disease,Pancreas,ACSF3,1,no
3.human_GSE81547,disease,Pancreas,ACSL1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ADGRL4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,AKR1A1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ALPL,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP1A1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP5F1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP6V0B,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATPIF1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QB,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QC,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1orf194,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CAP1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CAPZB,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CD52,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CD53,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CDC42,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CSDE1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CSF1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CYP4B1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CYR61,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,DNALI1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ENO1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ERRFI1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,F3,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FABP3,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCGR1A,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCN3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FGR,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,GNG5,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,HMGN2,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,HSPB11,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,IFI6,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ISG15,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,JTB,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,JUN,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,LAMTOR5,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,LAPTM5,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MARCKSL1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MCL1,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MFAP2,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MINOS1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,NDUFS5,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,NUDC,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PARK7,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PDZK1IP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PIFO,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PLPP3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PPT1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PRDX1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RAB13,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPL11,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPL5,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPS27,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPS8,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A10,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A13,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A4,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A6,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A8,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SCP2,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SERBP1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SH3BGRL3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,STMN1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TMEM50A,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TMEM59,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TPM3,6,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TSPAN1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TXNIP,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,UQCRH,2,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,ARPC2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,BRK1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CALM2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CAPZB,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CD48,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CD52,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CD8A,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CD8B,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CMC1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,CNBP,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,FCER1G,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,FGR,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,GNAI2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,GNG5,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,GNLY,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,GYPC,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,H3F3A,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,HMGN2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,JAK1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,LAPTM5,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,OST4,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,PCBP1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,PTPRC,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,RGS2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,RHOA,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,RPL32,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,RPS8,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,S100A10,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,S100A12,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,S100A8,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,SELL,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,SERP1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,SH3BGRL3,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,SSR2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,TAGLN2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,TMA7,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,TRAF3IP3,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,TXNIP,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,YBX1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Blood,ZFP36L2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,AIF1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,ATP5MC3,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,BTF3,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,BTG2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,CCDC50,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,CD8B,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,COX7C,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,EGR1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HIGD2A,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HINT1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HLA-A,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HLA-C,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HLA-E,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,HMGN2,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,ITM2C,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,NPM1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,OST4,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,PCBP1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,PRELID1,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,PTPRC,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,S100A11,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,SH3BGRL3,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,SNRPG,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,TMA7,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,TXNIP,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,UQCRQ,1,no
HCA.human_normal+disease.TCellsHumanCentralNervousSystem:MS5,disease,Cerebrospinal Fluid,YBX1,1,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,ACOT7,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,AL034417.3,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,AL645728.1,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,ANGPTL7,3,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,ATAD3A,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,AURKAIP1,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,B3GALT6,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,C1orf167,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,CAMTA1,5,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,CCNL2,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,CDK11B,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,CENPS,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,CLCN6,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,DFFA,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,DHRS3,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,FBXO44,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,FBXO6,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,GNB1,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,H6PD,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,HES4,1,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,INTS11,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,KAZN,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,LZIC,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,MEGF6,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,MIR34AHG,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,MRPL20,2,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,MTATP6P1,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,MXRA8,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,NOC2L,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PDPN,2,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PER3,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PGD,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PLEKHN1,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PLOD1,5,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,PRKCZ,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,RBP7,2,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,RER1,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,RERE,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,RPL22,1,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SDF4,1,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SKI,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SLC25A33,5,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SLC35E2A,7,no
